meta_keywords_id,article_id
261,888269
79,888269
167,888269
228,888269
286,888269
20,888269
252,887088
59,887088
198,887088
294,887088
29,887088
21,357652
182,357652
30,357652
209,357652
270,463108
256,463108
161,365756
33,365756
132,365756
236,365756
190,365756
302,417139
53,670356
227,670356
123,670356
149,371475
277,371475
231,371475
61,371475
287,416735
26,416735
233,416735
43,367244
117,367244
75,367244
57,367244
34,367244
111,221712
108,221712
31,221712
262,221712
273,221712
112,221712
5,221712
210,221712
229,221712
147,221712
35,639204
4,639204
14,639204
280,639204
295,639204
153,639204
128,383191
0,558821
104,632693
216,632693
170,632693
242,632693
155,632693
218,632693
168,63835
13,63835
265,63835
271,63835
292,63835
99,63835
97,364852
240,810222
46,810222
32,810222
176,810222
113,64443
10,64443
275,64443
91,64443
109,64443
293,64443
188,64443
205,64443
68,64443
27,84984
36,84984
24,84984
299,84984
202,84984
194,84984
245,84984
63,84984
127,84984
166,296422
183,296422
114,296422
92,474235
89,474235
131,474235
95,474235
139,474235
38,474235
257,474235
281,464998
3,93147
169,93147
174,93147
71,93147
298,93147
221,93147
239,93147
1,457844
232,457844
238,457844
93,457844
175,457844
106,457844
154,457844
189,291874
191,291874
133,291874
67,291874
278,291874
107,291874
140,291874
214,316649
80,328437
98,438738
217,438738
146,438738
103,438738
219,438738
213,438738
49,465712
148,30606
230,30606
83,30606
249,30606
37,30606
253,30606
178,30606
44,30606
94,455560
69,259112
152,259112
260,259112
47,259112
266,259112
224,259112
86,259112
162,293648
297,293648
134,293648
120,293648
207,293648
254,293648
197,293648
282,293648
301,293648
208,293648
246,293648
65,293648
215,293648
137,293648
179,293648
52,293648
258,293648
42,293648
279,293648
244,452251
201,29705
78,29705
110,29705
124,29705
263,29705
51,29705
157,29705
116,450170
142,450170
16,450170
62,450170
234,450170
199,450170
300,450170
50,456370
17,456370
141,456370
6,456370
25,456370
185,456370
268,456370
151,456370
28,456370
225,456370
269,456370
55,304449
60,304449
289,304449
291,304449
15,304449
45,304449
243,304449
129,457371
105,93401
196,93401
184,93401
100,93401
235,93401
121,93401
23,93401
102,316713
22,469826
85,469826
156,469826
259,469826
192,469826
171,469826
76,469826
143,401676
173,402438
54,402438
187,402438
267,402438
125,402438
195,1111165
193,1111165
248,1111165
126,1112422
177,1112422
56,1112422
90,497538
81,497538
223,497538
11,497538
87,497538
158,97646
73,97646
272,97646
9,97646
64,97646
66,97646
150,695028
19,695028
276,695028
145,695028
186,695028
288,1044681
82,1044681
130,1044681
122,1044681
200,1044681
226,1044681
204,928239
283,928239
159,441102
164,441102
251,441102
165,519029
84,519029
172,519029
118,519029
138,519029
39,519029
18,519029
119,519029
40,519029
12,519029
264,519029
206,911660
48,911660
88,911660
255,911660
160,911660
296,911660
70,911660
77,911660
135,59847
220,59847
180,59847
211,59847
2,59847
163,1111798
144,1111798
247,1111798
250,1111798
212,316464
72,428218
203,428218
96,428218
290,428218
303,428218
237,428218
241,428218
222,428218
8,428218
74,428218
58,560398
284,560398
41,560398
115,560398
181,560398
285,560398
101,560398
7,560398
136,560398
274,560398
